Publisher,Global_Sales,Critic_Score,User_Score,MetaCritic_predicted
Square Enix ,0.3333333333333333,80.0,7.733333333333333,70.00854625301825
SquareSoft,2.7644444444444445,85.88888888888889,8.488888888888889,79.92996041797397
Stainless Games,0.025,51.5,6.25,61.73505797994281
Sting,0.09500000000000001,69.83333333333333,7.8500000000000005,73.36870659656742
Strategy First,0.03,74.0,8.6,78.98443397430822
Success,0.044,63.2,7.459999999999999,71.54757349750844
Sunflowers,0.03,77.0,9.1,82.09238879675272
Sunsoft,0.09,67.0,5.3,58.49368354220776
Swing! Entertainment,0.09666666666666668,59.0,7.233333333333333,69.46869103831393
System 3,0.16,38.0,2.9,45.6436136837567
System 3 Arcade Software,0.21333333333333335,71.33333333333333,6.633333333333333,65.98983672574418
TDK Mediactive,0.30347826086956525,53.17391304347826,6.595652173913043,65.86888184731092
THQ,0.5260063897763578,68.7667731629393,7.178594249201279,69.09025145433652
THQ Nordic,0.01,60.666666666666664,5.1000000000000005,58.63951053102955
Taito,0.05666666666666667,64.33333333333333,6.866666666666667,67.68661771922748
Takara Tomy,0.20750000000000002,60.0,6.925,68.77444641306471
Take-Two Interactive,1.26145390070922,75.81205673758865,7.147163120567376,70.9593920032994
TalonSoft,0.87,48.0,6.6,67.74008076999232
Team Meat,0.01,85.0,7.0,67.1638375694479
Team17 Software,0.030000000000000002,71.0,7.1,68.51176043073198
Tecmo Koei,0.24185714285714285,65.82857142857142,7.623571428571428,70.55912182940907
Telegames,0.08,80.0,8.3,73.87633683957367
Telltale Games,0.138,57.8,5.720000000000001,59.09587052602088
Tetris Online,0.43,74.0,6.8,66.92735356210505
The Adventure Company,0.07666666666666667,50.666666666666664,7.1000000000000005,67.33713971363098
Titus,0.244,56.2,5.92,62.98055077163601
Tomy Corporation,0.5725,69.5,7.9,71.47199302552406
TopWare Interactive,0.03,69.0,5.9,60.43967925063403
Touchstone,0.39,69.75,6.75,65.55595240272332
Trion Worlds,0.4525,66.75,6.975,69.40729291349678
Tripwire Interactive,0.125,76.0,7.6,72.4758230278749
Tru Blu Entertainment,0.065,74.5,7.25,71.88629753357233
Ubisoft,0.6747868217054264,69.22286821705427,7.044573643410852,68.58111018202739
Ubisoft Annecy,0.355,65.16666666666667,7.383333333333333,68.35673998547998
Universal Interactive,0.829,62.3,7.045,67.89984603007636
Unknown,0.08066666666666666,62.4,6.133333333333334,63.64652468313683
Valcon Games,0.1,73.0,6.9,69.65529712078695
Valve,1.7,95.0,8.4,78.91314757041818
Valve Software,0.8025,92.25,8.775,79.31828375371789
Virgin Interactive,1.033157894736842,79.36842105263158,8.31578947368421,75.41935561052018
Visco,0.02,51.0,7.6,72.16363696697715
Vivendi Games,0.373728813559322,67.76271186440678,7.373728813559322,70.00411615562959
Wanadoo,0.128,60.0,7.6,70.44355949001854
Wargaming.net,0.29,80.0,3.7,51.186545682634126
Warner Bros. Interactive Entertainment,0.8496478873239437,70.69014084507042,7.136619718309859,67.82058630076683
White Park Bay Software,0.15,77.0,7.7,71.49427617645678
XS Games,0.125,65.5,7.15,70.08411175414845
Xicat Interactive,0.03,44.0,7.2,69.92277181807532
Xplosiv,0.33499999999999996,44.0,4.2,53.635757442690355
Xseed Games,0.22749999999999998,65.5,7.85,72.70936611325163
Yacht Club Games,0.09,86.25,8.125,72.95402678779023
Zoo Digital Publishing,0.19416666666666668,52.916666666666664,6.458333333333333,65.41474433020015
Zoo Games,0.4466666666666667,60.333333333333336,7.266666666666667,70.2975023538602
Zushi Games,0.21,68.0,8.6,79.18541186571609
bitComposer Games,0.03,69.0,7.3,70.29949583803322
id Software,0.03,85.0,8.3,75.88712653161994
inXile Entertainment,0.11,81.0,7.3,70.09273761617536
