Rating,Global_Sales,Critic_Score,User_Score,MetaCritic_predicted
AO,1.95,93.0,8.7,77.71397958209494
E,0.926563367252544,70.736355226642,7.16831637372803,71.32449146856776
E10+,0.576745867768595,68.13739669421487,6.890185950413223,68.16458912439137
K-A,1.92,92.0,7.4,71.34165169671961
M,0.9798925453324379,71.80523841504365,7.1550033579583605,69.93628785230088
RP,0.04,60.5,5.3,61.69405640475453
T,0.5698392928887103,69.65006026516673,7.3082764162314175,70.32640525315975
